customer_id,plan,country,monthly_usage_hours,tenure_months,subscription_type,churn
1,Basic,USA,38,46,Monthly,0
2,Premium,USA,29,14,Yearly,1
3,Standard,India,38,45,Monthly,0
4,Standard,UK,39,46,Yearly,0
5,Basic,Canada,45,26,Yearly,0
6,Basic,Canada,88,26,Monthly,1
7,Basic,UK,52,45,Monthly,0
8,Premium,India,68,10,Monthly,1
9,Standard,Canada,37,7,Monthly,1
10,Standard,Germany,33,16,Monthly,1
11,Basic,Canada,34,14,Monthly,1
12,Premium,India,67,41,Yearly,0
13,Premium,USA,75,26,Monthly,0
14,Basic,USA,95,42,Yearly,1
15,Basic,USA,78,1,Monthly,0
16,Basic,India,58,38,Monthly,0
17,Basic,USA,47,42,Yearly,1
18,Standard,USA,23,30,Monthly,0
19,Basic,India,38,23,Monthly,1
20,Basic,Germany,17,2,Monthly,1
21,Standard,Canada,56,4,Yearly,1
22,Basic,India,32,26,Monthly,0
23,Basic,India,42,43,Yearly,0
24,Basic,UK,63,46,Monthly,0
25,Basic,USA,42,14,Yearly,0
26,Standard,Australia,33,44,Monthly,1
27,Basic,Germany,31,14,Monthly,0
28,Standard,Australia,109,43,Monthly,1
29,Standard,UK,58,1,Yearly,1
30,Basic,Germany,73,28,Monthly,1
31,Standard,USA,29,20,Monthly,0
32,Basic,Australia,23,19,Yearly,0
33,Basic,USA,11,3,Yearly,0
34,Premium,USA,38,33,Monthly,0
35,Premium,Canada,138,36,Yearly,0
36,Premium,Germany,70,14,Monthly,1
37,Basic,Germany,39,8,Monthly,1
38,Basic,UK,91,39,Monthly,1
39,Standard,India,21,20,Yearly,1
40,Basic,USA,100,44,Monthly,0
41,Basic,USA,113,22,Monthly,0
42,Basic,Australia,39,47,Monthly,1
43,Basic,UK,43,26,Yearly,0
44,Premium,Germany,62,35,Monthly,0
45,Basic,Canada,22,38,Monthly,0
46,Standard,Germany,52,14,Monthly,1
47,Basic,Canada,164,23,Monthly,0
48,Standard,Canada,35,5,Monthly,1
49,Standard,Germany,48,1,Monthly,0
50,Basic,Australia,49,26,Monthly,1
51,Premium,USA,92,15,Yearly,0
52,Standard,Canada,67,12,Monthly,0
53,Premium,Australia,89,21,Yearly,0
54,Premium,UK,38,37,Yearly,0
55,Standard,UK,78,17,Monthly,1
56,Premium,Canada,22,9,Monthly,1
57,Basic,USA,17,1,Yearly,1
58,Basic,Canada,97,31,Monthly,0
59,Basic,UK,28,17,Monthly,1
60,Basic,UK,13,20,Monthly,1
61,Basic,Germany,52,4,Monthly,1
62,Basic,USA,74,25,Yearly,0
63,Premium,Germany,15,34,Monthly,1
64,Basic,Australia,43,7,Yearly,0
65,Basic,Australia,72,27,Monthly,1
66,Standard,Australia,70,2,Monthly,1
67,Basic,India,12,45,Yearly,0
68,Premium,Australia,59,5,Monthly,0
69,Basic,Canada,63,4,Monthly,0
70,Premium,Germany,52,3,Monthly,0
71,Standard,Australia,101,25,Yearly,0
72,Basic,USA,46,26,Monthly,0
73,Basic,Australia,76,27,Monthly,0
74,Premium,Canada,58,44,Monthly,0
75,Standard,Canada,66,40,Monthly,1
76,Standard,Canada,55,33,Yearly,1
77,Standard,Canada,50,9,Yearly,0
78,Basic,Canada,111,35,Monthly,1
79,Basic,USA,35,38,Monthly,0
80,Basic,India,33,8,Yearly,0
81,Premium,UK,107,13,Monthly,0
82,Standard,India,36,4,Yearly,1
83,Basic,UK,15,41,Monthly,1
84,Basic,Germany,51,5,Monthly,1
85,Basic,Canada,18,44,Monthly,1
86,Basic,Germany,5,43,Yearly,0
87,Standard,Germany,50,14,Monthly,0
88,Standard,UK,72,12,Yearly,0
89,Premium,USA,101,20,Monthly,0
90,Basic,Canada,90,5,Monthly,1
91,Basic,Australia,21,25,Yearly,0
92,Standard,Germany,42,13,Yearly,0
93,Standard,India,78,23,Monthly,0
94,Standard,Canada,48,42,Yearly,0
95,Standard,USA,32,45,Yearly,0
96,Basic,Canada,11,37,Yearly,0
97,Standard,Australia,53,31,Yearly,0
98,Basic,Australia,21,38,Monthly,1
99,Basic,Germany,66,27,Yearly,0
100,Basic,India,36,10,Monthly,0
101,Basic,Germany,38,41,Monthly,1
102,Standard,USA,79,46,Monthly,0
103,Basic,UK,34,2,Monthly,1
104,Standard,Australia,30,20,Yearly,0
105,Premium,India,61,28,Monthly,0
106,Basic,Australia,35,15,Yearly,0
107,Basic,USA,47,35,Monthly,0
108,Standard,USA,124,1,Yearly,0
109,Basic,Australia,56,47,Yearly,0
110,Basic,Germany,47,24,Monthly,0
